correo,entidad,entidad_corta,saludo,nombre_contacto_aprox,rut,direccion_aprox,comuna,telefono_1,telefonos_todos,correos_adicionales,categoria,nota
dynconsultorahabitacional@gmail.com,CONSULTORA HABITACIONAL D Y N SPA,D Y N SPA,Estimados D Y N SPA,Solange Villalobos Listz,76.138.603-4,N°2925,San Joaquin,222297548,222297548 / 974545184,,PRIMERA,
contacto.mondie@gmail.com,CONSULTORA HABITACIONAL MONDIE LIMITADA,MONDIE LTDA.,Estimados MONDIE LTDA.,Lorena Diena Arenas,76.986.944-1,Ahumada N°13 Of 915,Santiago,975699128,975699128,,PRIMERA,
consultoraroigltda@gmail.com,CONSULTORA ROIG LIMITADA,CONSULTORA ROIG LTDA.,Estimados CONSULTORA ROIG LTDA.,Jessica Ivonne Sarmiento Ulloa,76.033.036-1,Av. Francisco Bilbao Nº 656,Peñaflor,228129041,228129041 / 94549254 / 985962492,info@consultoraroig.cl,PRIMERA,
raulcancinotecnovivienda@gmail.com,CONSULTORA TECNOVIVIENDA LIMITADA,TECNOVIVIENDA LIMITADA,Estimados TECNOVIVIENDA LIMITADA,Raúl Alberto Cancino,76.634.226-4,Carrasco Monjitas 527 Of 1216,Santiago,232246446,232246446 / 966063539,consultoratecnovivienda@gmail.com,PRIMERA,
legal@conavicoop.cl,COOPERATIVA ABIERTA DE VIVIENDA CONAVICOOP,CONAVICOOP,Estimados CONAVICOOP,Andres Nuñez Roco,70.020.030-2,Londres 94,Santiago,6005865500,6005865500 / 227140198 / 227140201,rbonilla@conavicoop.cl,PRIMERA,
nuevosanjoaquin@yahoo.com,CORPORACIÓN DESARROLLO URBANO NUEVO SAN JOAQUIN,CORPORACIÓN DESARROLLO URBANO NUEVO SAN JOAQUIN,Estimados CORPORACIÓN DESARROLLO URBANO NUEVO SAN JOAQUIN,Lina Isolda Zamorano,65.012.860-5,"Ramírez Ramón Subercaseaux 1268, Oficina 407",San Miguel,224948301,224948301 / 976495176,lzamorano@cdu.cl,PRIMERA,
mconte@democorp.com,DEMO ENTIDAD PATROCINANTE SPA,DEMO EP SPA,Estimados DEMO EP SPA,Carolina Rojas Maldonado,76.536.688-7,Calle Volcán Lascar Oriente N° 721,Pudahuel,226019882,226019882 / 932451921 / 974510923,crojas@democorp.com,PRIMERA,
consultora.dasie@gmail.com,DISEÑO ARQUITECTURA SOCIAL INGENIERÍA Y ESTUDIO CONSULTORES LIMITADA,CONSULTORA D.A.S.I.E. LTDA.,Estimados CONSULTORA D.A.S.I.E. LTDA.,Juan,76.146.502-3,"Alonso Delgado Escárate Paseo Huérfanos N° 886, Oficina N° 616",Santiago,233774799,233774799 / 920078319,,PRIMERA,
emilestraubbarros@gmail.com,EMILE STRAUB Y COMPAÑÍA LIMITADA,STRAUB CONSULTORA LTDA.,Estimados STRAUB CONSULTORA LTDA.,Emile Sebastián Straub Barros,76.614.810-7,Diagonal Oriente N°1.490,Providencia,98185490,98185490 / 94850347,straub.consultora@gmail.com / danielstraub@gmail.com,PRIMERA,
carlos.entidad.emprende@gmail.com,EMPRENDE SPA,EMPRENDE SPA,Estimados EMPRENDE SPA,Carlos Muñoz Gallardi,78.181.048-7,Calle Jaromir Pridal N°316-A,Peñaflor,224619456,224619456,,PRIMERA,
edosspa@gmail.com,EMPRESA DE DESARROLLO Y ORGANIZACIÓN SOCIAL SPA,EDOS SPA,Estimados EDOS SPA,Alejandra Fuentes Pobleta,76.780.304-4,"Jose Miguel De La Barra N°536, Piso 7",Santiago,954214248,954214248,,PRIMERA,
evciudadurbana@gmail.com,EMPRESA DE GESTION Y PROYECTOS HABITACIONALES CIUDAD URBANA LIMITADA,CIUDAD URBANA LTDA.,Estimados CIUDAD URBANA LTDA.,Evelyn Villegas Barraza,76.427.838-0,Calle Islandia N°861,San Miguel,232318560,232318560 / 978793779,,PRIMERA,
egisgirasolltda@gmail.com,ENTIDAD DE GESTIÓN INMOBILIARIA SOCIAL GIRASOL LIMITADA,EGIS GIRASOL LTDA.,Estimados EGIS GIRASOL LTDA.,Mariela Valverde Fuentes,76.571.734-5,Rancagua N° 0157 Of 403,Providencia,233075239,233075239,,PRIMERA,
carolina.colipue@asistecnova.cl,ENTIDAD DE GESTIÓN INMOBILIARIA SOCIAL LIMITADA,ASISTEC NOVA LTDA,Estimados ASISTEC NOVA LTDA,Carolina Angélica Colipue Arellano,76.161.424-K,"Calle Serrano N° 74, Of. 301",Santiago,226328830,226328830,mariapaz.avalos@asistecnova.cl,PRIMERA,
contacto@nuevavivienda.cl,ENTIDAD ORGANIZADORA Y CONSULTORA HABITACIONAL NUEVA VIVIENDA SPA,NUEVA VIVIENDA SPA,Estimados NUEVA VIVIENDA SPA,Marco Rodrigo Pacheco Cisterna,76.625.360-1,"Calle San Antonio N° 19, Oficina N° 1805",Santiago,222471100,222471100,,PRIMERA,
fmella@consultoraidentidades.com,ENTIDAD PATROCINANTE CONSULTORA SOCIAL & HABITACIONAL IDENTIDADES LIMITADA,IDENTIDADES LTDA.,Estimados IDENTIDADES LTDA.,Maria Fernanda Mella Lara,76.413.791-4,Calle Vicente Valdes N°87 Oficina 904,La Florida,975170778,975170778 / 323784404 / 981368093,f.aragon@consultoraidentidades.cl / m.mendez@consultoraidentidades.cl,PRIMERA,
coordinadoracreatufuturospa@gmail.com,ENTIDAD PATROCINANTE CREA TU FUTURO SPA,ENTIDAD PATROCINANTE CREA TU FUTURO SPA,Estimados ENTIDAD PATROCINANTE CREA TU FUTURO SPA,Alfonso Raúl Alexis Castro Rodríguez,76.636.403-9,"Calle Lord Cochrane N° 30, Oficina N° 307",Santiago,965041414,965041414,a.alexis.castro@gmail.com / creatufuturospa@gmail.com,PRIMERA,
vfritz@salfaustral.cl,ENTIDAD PATROCINANTE INMOBILIARIA SALFA AUSTRAL LIMITADA,ENTIDAD PATROCINANTE INMOBILIARIA SALFA AUSTRAL LIMITADA,Estimados ENTIDAD PATROCINANTE INMOBILIARIA SALFA AUSTRAL LIMITADA,Viviana Fritz Rebolledo/ Cristobal,96.610.790-1,Vicuña Ahumada N°341 Piso 6,Santiago,948024949,948024949 / 97979736,cviunad@salfaustral.cl,PRIMERA,
solange.lobos@isiete.cl,ENTIDAD PATROCINANTE JUNTOS SPA,ENTIDAD PATROCINANTE JUNTOS SPA,Estimados ENTIDAD PATROCINANTE JUNTOS SPA,Francisco Beffermann Alcantara,77.666.992-K,"N°200, Of.1102",Las Condes,978567502,978567502 / 992782962,francisco.beffermann@isiete.cl,PRIMERA,
contacto@planing.cl,ENTIDAD PATROCINANTE PLANING SPA,ENTIDAD PATROCINANTE PLANING SPA,Estimados ENTIDAD PATROCINANTE PLANING SPA,Rocío Gomez,78.475.080-9,"Avda. Apoquindo N°6410, Oficina 404",Las Condes,229935712,229935712,,PRIMERA,
contacto@unionep.cl,ENTIDAD PATROCINANTE UNION LIMITADA,ENTIDAD PATROCINANTE UNION LIMITADA,Estimados ENTIDAD PATROCINANTE UNION LIMITADA,Nicolas Tamayo,77.088.268-0,"Avda. Principe De Gales N°5921, Of 608",La Reina,233399483,233399483,,PRIMERA,
caricid@epicasocial.cl,EPICA SOCIAL,EPICA SOCIAL,Estimados EPICA SOCIAL,Carina Cid Vidal,78.079.607-3,"Juan Pablo Eyzaguirre Claro Calle Serrano N°73, Oficina N°305",Santiago,984281231,984281231,,PRIMERA,
cnash@nash.cl,EPS AGENCIA HABITACIONAL LIMITADA,EPS AGENCIA HABITACIONAL LIMITADA,Estimados EPS AGENCIA HABITACIONAL LIMITADA,Claudia Alejandra Nash Lavín,76.730.530-3,"Calle San Sebastián Nº 2807, Of.213",Las Condes,229014753,229014753,patricia@nash.cl,PRIMERA,
ep.evolutiva@gmail.com,EVOLUTIVA ENTIDAD PATROCINANTE Y CONSULTORA DE VIVIENDA Y URBANISMO SPA,EVOLUTIVA SPA,Estimados EVOLUTIVA SPA,Natalia Muñoz Requena,76.392.316-9,Calle Ministro Carvajal N° 27,Providencia,227118997,227118997 / 956391837,,PRIMERA,Este correo lo comparten también: EVOLUTIVA VIVIENDA ENTIDAD PATROCINANTE Y CONSULTORA DE VIVIENDA Y URBANISMO SPA
capellania@techo.org,FUNDACION UN TECHO PARA CHILE,UN TECHO PARA MI PAÍS,Estimados UN TECHO PARA MI PAÍS,Juan Cristóbal Beytía Reyes,65.533.130-1,Avenida Departamental Nº 440,San Joaquín,22838734044,22838734044 / 984187985 / 977927300,,PRIMERA,
suzana@hphchile.cl,FUNDACIÓN DE VIVIENDAS HPH CHILE,FUNDACIÓN DE VIVIENDAS HPH CHILE,Estimados FUNDACIÓN DE VIVIENDAS HPH CHILE,Scarlett Lizana Fernandez,65.553.800-3,Gral. Bustamante N°26 Piso 7,Providencia,983833854,983833854 / 973384516,dlepe@hphchile.cl,PRIMERA,
gestioncumbresdelnorte@gmail.com,GESTION INMOBILIARIA CUMBRES DEL NORTE LIMITADA,CUMBRES DEL NORTE LTDA.,Estimados CUMBRES DEL NORTE LTDA.,Francy Javier Rojas,76.079.461-9,Diaz Serrano N°63 Oficina 71,Santiago,222453453,222453453 / 928737472,,PRIMERA,
gestionyproyectosb2@gmail.com,GESTION Y PROYECTOS B2 LIMITADA,B2 LTDA.,Estimados B2 LTDA.,Rodrigo Berger Recart,77.088.101-3,"Estado N°115, Oficina 307",Santiago,226332284,226332284,rodrigo@bergeryberger.cl,PRIMERA,
silvia.oyander@egiscasablanca.cl,GESTIÓN INMOBILIARIA CASABLANCA SPA,GESTIÓN INMOBILIARIA CASABLANCA SPA,Estimados GESTIÓN INMOBILIARIA CASABLANCA SPA,Eric,76.017.195-6,Manuel Oyaneder Hidalgo Calle Las Brisas N° 213,La Cisterna,222125943,222125943 / 979886862,p.jaracasablanca@gmail.com / ericoyaneder@gmail.com,PRIMERA,
dvd@cbiobio.cl,GESTIÓN INMOBILIARIA EL CANELO LIMITADA,GESTIÓN INMOBILIARIA EL CANELO LIMITADA,Estimados GESTIÓN INMOBILIARIA EL CANELO LIMITADA,Domingo Fernando Valenzuela Durret,76.021.386-1,"Avda. Americo Vespucio Sur N°700, Piso 1 Y 7",Las Condes,225054208,225054208 / 225054071 / 225054160,dvalenzuela@cbiobio.cl / nacevedo@cbiobio.cl,PRIMERA,
egis.santiago@gmail.com,GESTIÓN INMOBILIARIA SANTIAGO SPA,EGIS SANTIAGO SPA,Estimados EGIS SANTIAGO SPA,Carolina Lara Gutierrez,76.752.005-0,Calle Catedral N°1009 Oficina 504,Santiago,967284257,967284257 / 2233472573 / 233472573,carolina.psatsantiago@gmail.com,PRIMERA,
rucalhueltda@gmail.com,GESTIÓN Y PROYECTOS INMOBILIARIOS RUCALHUE LIMITADA,GESTIÓN Y PROYECTOS INMOBILIARIOS RUCALHUE LIMITADA,Estimados GESTIÓN Y PROYECTOS INMOBILIARIOS RUCALHUE LIMITADA,Gonzalo,76.270.853-1,Andrés Carrasco García Calle Islandia N°871,San Miguel,957155835,957155835 / 944396872 / 999059128,,PRIMERA,
marcelofg@gestoramashogar.cl,GESTORA MAS HOGAR LIMITADA,MASHOGAR LTDA.,Estimados MASHOGAR LTDA.,Jorge Niemann Figari,76.360.076-9,"Calle Marchant Pereira N° 201, Piso 4 (Todo El Piso Corresponde A La Dirección Y Oficina Indicada)",Providencia,227571800,227571800 / 227571845,,PRIMERA,
f.hogarmejor@gmail.com,HOGAR MEJOR EGIS FUNDACION,HOGAR MEJOR EGIS FUNDACION,Estimados HOGAR MEJOR EGIS FUNDACION,Alejandra Fuentes Bulnes,65.209.947-5,N°197 Oficina 3,Santiago,932794681,932794681,,PRIMERA,
ep3l@3lsf.cl,INMOBILIARIA 3L SPA,INMOBILIARIA 3L SPA,Estimados INMOBILIARIA 3L SPA,Andres Alejandro Lowener,77.730.720-7,"Mayer￾Rechnitz Suecia 0155,Of 604",Providencia,998988913,998988913,,PRIMERA,
roxanakamchings@gmail.com,INMOBILIARIA ASISTENCIA TÉCNICA Y GESTOR HABITACIONAL MILLALEMU SOCIEDAD ANÓNIMA,MILLALEMU S.A.,Estimados MILLALEMU S.A.,Roxana Scarlett Kam-Ching Barrios,76.936.840-K,Avda. Viel N° 1556,Santiago,225441140,225441140 / 967283389 / 954214248,,PRIMERA,"Este correo lo comparten también: INMOBILIARIA, INSPECCION TECNICA Y GESTOR HABITACIONAL PUYEHUE SPA"
jpavez@concrecasa.cl,INMOBILIARIA CONCRECASA DOS LIMITADA,CONCRECASA DOS LTDA,Estimados CONCRECASA DOS LTDA,Lorena Urrutia,76.161.811-3,Av. Nueva Costanera Nº 4229 Of. 305.,Vitacura,222419222,222419222 / 991894503,lurrutia@concrecasa.cl,PRIMERA,
mmendez@consultoraidentidades.cl,INMOBILIARIA G21 LIMITADA,INMOBILIARIA G21 LIMITADA,Estimados INMOBILIARIA G21 LIMITADA,Fernanda Mella Lara,78.155.375-1,Calle Vicente Valdes N°87 Oficina 904,La Florida,934306564,934306564,,PRIMERA,
gestionafacilspa@gmail.com,INMOBILIARIA GESTIONA FACIL SPA,GESTIONA FACIL SPA,Estimados GESTIONA FACIL SPA,Andrea Gonzalez,76.830.635-4,"Calle Morande N° 835, Oficina N° 1106",Santiago,26456089,26456089 / 942491036,,PRIMERA,
converge@iconverge.cl,INMOBILIARIA SOCIAL CONVERGE LIMITADA,CONVERGE LIMITADA,Estimados CONVERGE LIMITADA,Lucio Claudio Hernández,76.366.565-8,Ortiz Agustinas N°972 Oficina 514,Santiago,232211653,232211653 / 966770162 / 999188094,hlucioclaudio@gmail.com / vilaza.claudia@gmail.com,PRIMERA,
j.elicer@insoc.cl,INMOBILIARIA Y CONSTRUCTORA INSOC LIMITADA,INSOC LTDA.,Estimados INSOC LTDA.,José Luis Elicer Gutierrez,76.961.330-7,"Calle Moneda Nº 920, Depto. 202",Santiago,993203419,993203419 / 226973887 / 993204409,a.ibarra@insoc.cl / r.rojas@insoc.cl,PRIMERA,
psatlicanray@gmail.cl,"INMOBILIARIA, INSPECCION TECNICA Y GESTOR HABITACIONAL LICANRAY SPA",LICANRAY SPA,Estimados LICANRAY SPA,Roxana Scarlett Kam-Ching Barrios,76.920.822-4,Avda. Viel N° 1556,Santiago,225441140,225441140 / 967283389 / 954214248,,PRIMERA,
rukalemupsat@gmail.com,"INMOBILIARIA, INSPECCIÓN TÉCNICA Y GESTOR HABITACIONAL RUKALEMU S.A",RUKALEMU S.A.,Estimados RUKALEMU S.A.,Roxana Scarlett Kam-Ching Barrios,76.099.786-2,Av. Viel Nº 1556,Santiago,967283389,967283389,roxanakamchings@gmail.com,PRIMERA,
pamela@manquehueconsultora.cl,MANQUEHUE CONSULTORA DE VIVIENDAS SOCIALES LIMITADA,MANQUEHUE EP LTDA.,Estimados MANQUEHUE EP LTDA.,Eduardo Tobar-Karen Espinoza Rios,76.573.787-7,Calle Folclorista Oreste Plath N°146 Villa Carlos Droguett,Talagante,963730002,963730002,,PRIMERA,
ggajardo@constructoraoval.cl,OVAL ENTIDAD PATROCINANTE LIMITADA,OVAL ENTIDAD PATROCINANTE LIMITADA,Estimados OVAL ENTIDAD PATROCINANTE LIMITADA,Carolina Andrea Macan Maraboli,76.094.195-6,Av. Presidente Kennedy N°5682 Vitacura Anexo,,223430660,223430660 / 10469319922358,ymaturana@constructoraoval.cl / contacto@constructoraoval.cl,PRIMERA,
pehuen@pehuensa.cl,PEHUÉN S.A.,PEHUÉN S.A.,Estimados PEHUÉN S.A.,Jorge Enoc Rozas,76.893.260-3,"Ramírez Paseo Estado N° 115, Of Nº 1208.",Santiago,975887368,975887368,jrozas@pehuensa.cl / jrozas@pehuenes.cl,PRIMERA,
cornejo_alfredo@yahoo.com,PRO VIVIENDA SPA,PRO VIVIENDA SPA,Estimados PRO VIVIENDA SPA,Alfredo Cristian Cornejo Peña,76.594.394-9,Pasaje Rosa Rodriguez N°1375 Of 216,Santiago,222949851,222949851 / 232825231 / 987086807,egisprovivienda@gmail.com,PRIMERA,
lbarrales@proyecta3.cl,PROYECTA3 SERVICIOS HABITACIONALES LIMITADA,PROYECTA3 HABITACIONAL LIMITADA,Estimados PROYECTA3 HABITACIONAL LIMITADA,María Loreto Barrales Fernández,76.179.464-7,"Calle Serrano Nº 74, Oficina N° 401",Santiago,939302330,939302330 / 939302328 / 939302329,jmunozw@proyecta3.cl,PRIMERA,
epcolaboraspa@gmail.com,PROYECTOS DE ARQUITECTURA COLABORA SPA,PROYECTOS DE ARQUITECTURA COLABORA SPA,Estimados PROYECTOS DE ARQUITECTURA COLABORA SPA,Karina Vallejos,76.979.052-7,Avda. Domingo Santa Maria N°2236,Independencia,512495161,512495161 / 964459360,kvallejos@colaboracionhumana.cl,PRIMERA,
luminosolarltda@gmail.com,PROYECTOS INMOBILIARIOS LUMINOSOLAR LIMITADA,LUMINOSOLAR LTDA.,Estimados LUMINOSOLAR LTDA.,Humberto Flores Mateluna,76.943.066-0,Gonzalo Carrasco Garcia Islandia N°871,San Miguel,939455202,939455202,gcarrasco678@gmail.com,PRIMERA,
b.tapia@s-ge.cl,PSAT INTEGRA SPA,PSAT INTEGRA SPA,Estimados PSAT INTEGRA SPA,Jorge Ignacio Gamboa Suárez,76.648.633-9,"Calle Merced N°838-A, Oficina 145",Santiago,989721218,989721218 / 987426765 / 941425899,j.gamboa@s-ge.cl / psat.integra@gmail.com,PRIMERA,
fqueirolo@gestionql.cl,QUEIROLO CRUCHAGA LIMITADA,QL LIMITADA,Estimados QL LIMITADA,Fernando Queirolo Orellana,76.668.501-3,Calle Rojas Magallanes N°438-D,La Florida,222335508,222335508 / 973799429,mlozano@gestionql.cl / contacto@gestionql.cl,PRIMERA,
crear@grupocrear.cl,SEREY Y OTROS ASOCIADOS LIMITADA,CREAR ASOCIADOS,Estimados CREAR ASOCIADOS,Esteban Serey - Oficina Central,76.026.827-5,"Calle Nueva York N° 09, Of. 1101, Piso 11",Santiago,976029680,976029680 / 223899500 / 991055856,esteban.serey@grupocrear.cl,PRIMERA,
proyectos@desarrolla.cl,SERVICIOS Y ASESORÍAS DESARROLLA SPA,DESARROLLA SPA,Estimados DESARROLLA SPA,Jaime Marambio Labrador,76.043.495-7,"Paseo Bulnes 79, Of. 60",Santiago,942077402,942077402 / 931943371,dest.iden@gmail.com / administracion@desarrolla.cl,PRIMERA,
rukapewma@rukapewma.cl,SOCIEDAD DE ASESORÍA RUKAPEWMA LIMITADA,SOCIEDAD DE ASESORÍA RUKAPEWMA LIMITADA,Estimados SOCIEDAD DE ASESORÍA RUKAPEWMA LIMITADA,Carina Alejandra Cid,76.887.130-2,"Vidal Serrano N°73, Oficina 305",Santiago,984281231,984281231,,PRIMERA,
tecnico.scs.eirl@gmail.com,SOLEDAD DEL CARMEN ARAOS GARNICA CONSULTORA SOCIAL E.I.R.L.,SOCIEDAD CONSULTORA SOCIAL S.C.S. E.I.R.L.,Estimados SOCIEDAD CONSULTORA SOCIAL S.C.S. E.I.R.L.,Soledad Del Carmen Araos Garnica Gran,76.049.715-0,"Av. Jose Miguel Carrera Nº 6560, Caracol Lo Ovalle, Local N° 83",La Cisterna,228807735,228807735 / 993451820 / 224016338,scs.eirl@gmail.com / scr.eirl.2@gmail.com,PRIMERA,
yhernandez@tecnoingenieria.cl,TECNOINGENIERIA SPA,TECNOINGENIERIA SPA,Estimados TECNOINGENIERIA SPA,Yasna Alejandra Hernández Poblete,77.877.320-1,"General Bulnes Nº 139, Oficina N° 64",Santiago,966993031,966993031 / 998749594 / 226968675,tecnoingenieria@tecnoingenieria.cl / vflores@tecnoingenieria.cl,PRIMERA,
contacto@verdeazul.cl,VERDE - AZUL ARQUITECTOS ASOCIADOS LIMITADA,VERDE-AZUL LTDA,Estimados VERDE-AZUL LTDA,Felipe Ignacio Araya Allende,76.054.935-5,"Calle Marín Nº 0114, Of. 201 Providencia .",,229849950,229849950,c.barreau@verdeazul.cl,PRIMERA,
rodaxi.ximena.pavez@gmail.com,XIMENA ALEJANDRA PAVEZ REVECO GESTIÓN INMOBILIARIA E.I.R.L,RODAXI GESTIÓN INMOBILIARIA E.I.R.L.,Estimados RODAXI GESTIÓN INMOBILIARIA E.I.R.L.,Ximena Pavez Reveco,76.026.992-1,"Calle San José N° 5.641, P,13. Gran. Av.",San Miguel,966569929,966569929 / 966569927,ximena.pavez.reveco@gmail.com,PRIMERA,
