inmobiliaria,sitio_web,email_contacto_general,tipo_email,telefono,direccion_casa_matriz,comunas_santiago,segmento,confianza_email,fuente
Enaco,enaco.cl,info@enaco.com (verificar dominio),general,+56 2 2207 3800,Asturias 280 of. 301 Las Condes,"Las Condes, Ñuñoa, Santiago Centro",Departamentos,media,Ficha directorio
Inmobiliaria Manquehue,imanquehue.com,contacto@imanquehue.com,general,+56 2 2750 7500,Av. Santa María 6350 piso 4 Vitacura,"Vitacura, Las Condes, Lo Barnechea, Colina",Departamentos y casas,alta,Página de contacto
Simonetti,simonetti.cl,No publicado (contacto nominal: fmontero@simonetti.cl),nominal,+56 2 2496 9500,Av. Pdte. Errázuriz 2999 piso 1 Las Condes,"Las Condes, Ñuñoa, Providencia",Departamentos,baja,Ficha directorio
Inmobiliaria Numancia,numancia.cl,No publicado (formulario web),-,+56 32 238 5400,Av. Libertad 269 piso 13 Viña del Mar,Santiago (además Viña/Concón/Concepción),Departamentos,sin dato,Sitio corporativo
Besalco Inmobiliaria,besalcoinmobiliaria.cl,ventas@besalco.cl,ventas,+56 2 2338 0880,Ebro 2705 Las Condes,Región Metropolitana,Departamentos y casas,alta,Página contáctanos
Echeverría Izquierdo Inmobiliaria,eiii.cl,ei@ei.cl,corporativo,+56 2 3329 4100,Rosario Norte 532 piso 8 Las Condes,Región Metropolitana,Departamentos,media,Página de contacto corporativa
Brotec-Icafal,brotec.cl,No publicado (formulario web),-,+56 2 2394 7900,Av. Coyancura 2283 Providencia,Región Metropolitana,Departamentos,sin dato,Ficha directorio
Icafal Inmobiliaria,icafalinmobiliaria.cl,ventasicafal@icafal.cl,ventas,+56 2 2351 9290,Augusto Leguía Sur 160 of. 51 Las Condes,Región Metropolitana,Departamentos entrega inmediata,alta,Página de contacto
Fuenzalida Desarrollo Inmobiliario,inmobiliariafuenzalida.cl,No publicado (contacto@fuenzalida.com es la corredora del grupo),-,+56 2 2817 8200,Isidora Goyenechea 3162 of. 402 Las Condes,"Las Condes, Providencia, Ñuñoa",Departamentos,baja,Ficha directorio
PY Inmobiliaria,py.cl,No publicado (ejecutivo por zona),-,+56 2 2439 3500,Suecia 0142 of. 901 Edificio Infinity Providencia,Región Metropolitana,Casas y departamentos,sin dato,Página oficinas centrales
Inmobiliaria MPC (Moller & Pérez-Cotapos),mpc.cl,No publicado (formulario web),-,+56 2 2412 2200,Av. Las Condes 11700 Torre A Vitacura,"Providencia, Las Condes, Vitacura, Ñuñoa, Lo Barnechea",Departamentos y casas medio-alto,sin dato,Sitio corporativo
Neohaus,neohaus.cl,contacto@neohaus.cl,general,+56 2 2820 4100,Av. La Dehesa 1540 of. 802 Lo Barnechea,"Vitacura, Lo Barnechea, Las Condes",Departamentos y oficinas,alta,Página contáctenos
Inmobiliaria Grupo Hogares,hogares.cl,ventas@hogares.cl,ventas,+56 2 2599 6200,Av. Apoquindo 6550 Las Condes,Región Metropolitana,Departamentos y casas,alta,Página de contacto
Inmobiliaria Imagina,imagina.cl,No publicado (solo denuncias@imagina.cl),-,600 850 005,Av. Vitacura 5093 of. 202 Vitacura,Región Metropolitana,Departamentos,baja,Servicio al cliente
Inmobiliaria Sinergia,isinergia.cl,contacto@isinergia.cl,general,600 360 0085,Rosario Norte 615 of. 1301 Las Condes,Región Metropolitana (foco RM),Departamentos y casas,alta,Página de contacto
Altas Cumbres,altas-cumbres.cl,No publicado (formulario web),-,+56 2 2373 9901,Av. Santa María 2160 Providencia,Región Metropolitana,Departamentos,sin dato,Ficha directorio
Constructora OVAL / ValorArte Inmobiliaria,constructoraoval.cl,No publicado (formulario web),-,+56 2 2343 0660,Av. Pdte. Kennedy 5682 Vitacura,"Renca, Puente Alto, Quilicura, Ñuñoa",Departamentos,sin dato,Página de contacto
CFL Inmobiliaria,cfl.cl,No publicado (formulario web),-,+56 2 2726 2900,Av. Pdte. Jorge Alessandri 20191 San Bernardo,"San Bernardo, Buin, Peñalolén, Chicureo",Departamentos,sin dato,Sitio corporativo
Napoleón Gestión Inmobiliaria,inapoleon.cl,No publicado (formulario web),-,+56 2 2245 5450,Av. Raúl Labbé 12613 of. 526 Lo Barnechea,Gran Santiago,Departamentos y desarrollo,sin dato,Ficha directorio
Inmobiliaria Aumenta,aumenta.cl,servicioalcliente@aumenta.cl,servicio al cliente,+56 2 2248 4590,Av. del Cóndor 550 of. 303 Ciudad Empresarial Huechuraba,"La Florida (Lo Cañas) y otras RM",Departamentos,alta,Página de contacto
EBCO,ebco.cl,No publicado (formulario web),-,+56 2 2464 4700,Av. Santa María 2450 piso 3 Providencia,Región Metropolitana,Departamentos y edificación,sin dato,Página contáctanos
Activa (Grupo Activa),activa.cl,No publicado (formulario web),-,+56 2 2411 2020,Cerro El Plomo 5855 of. 408 Las Condes,"San Joaquín y otras RM",Departamentos / renta residencial,sin dato,Ficha directorio
Bicentenario Capital,bicentenario.cl,info@bicentenario.cl,general,+56 9 7521 5705,Santiago (opera también Puerto Montt y EE.UU.),Región Metropolitana,"Comercial, oficinas, residencial y mixto",media,Sitio corporativo
