razon_social,nombre_corto,rut,contacto_y_direccion,comuna,telefonos,correo_principal,correos_adicionales,categoria,resolucion
MUNICIPALIDAD DE MAIPU,,69.070.900-7,Karen Avalos Cornejo Calle Alberto Llona N° 1843/Av. Cinco De Abril Nº 0260,Maipú,226776077 / 226776799 / 224028477,kavalos@maipu.cl,mherrera@maipu.cl / viviendamaipu@gmail.com,ÚNICA,1648 / 31-05-2018
RODRIGO ALEJANDRO HENRIQUEZ DIAZ,,12.108.700-6,"Rodrigo Alejandro Henriquez Diaz Calle Compañía De Jesús N° 2540, Of. 101",Santiago,226825253,rodhex.arq@gmail.com,rhd.psat@gmail.com,TERCERA,2554 / 04-09-2017
MUNICIPALIDAD DE EL BOSQUE,,69.255.300-4,Eduardo Urrestarzu Rojas Javiera Carrera N°736,El Bosque,228299061 / 228299062 / 228299063,magaly.canas@municipalidadelbosque.cl,nataly.figueroa@municipalidadelbosque.cl,ÚNICA,2059 / 04-07-2018
MUNICIPALIDAD DE QUILICURA,,69.071.300-4,Paulina Allende Acevedo Guardiamarina Riquelme Nº 489,Quilicura,22366849,p.allende@quilicura.cl,,ÚNICA,291 / 26-01-2018
INMOBILIARIA 3L SPA,,77.730.720-7,"Andres Alejandro Lowener Mayer￾Rechnitz Suecia 0155,Of 604",Providencia,998988913,ep3l@3lsf.cl,,PRIMERA,3070 / 31-10-2017
MUNICIPALIDAD DE MACUL,,69.253.700-9,"Claudia Menares Valenzuela Av. Quilin N° 3248, 3° Piso",Macul,228739261 / 228739259,cmenares@munimacul.cl,deptoviviendamacul@gmail.com / vivienda@munimacul.cl,ÚNICA,694 / 20-02-2018
MUNICIPALIDAD DE SAN PEDRO,,69.073.100-2,Nicole Santander Gonzalez Avenida Hermosilla N° 11 San Pedro (Anexo 162),,228405961 / 993277755,cvaldes@munisanpedro.cl,g.aracena@munisanpedro.cl,ÚNICA,880 / 02-03-2017
XIMENA ALEJANDRA PAVEZ REVECO GESTIÓN INMOBILIARIA E.I.R.L,RODAXI GESTIÓN INMOBILIARIA E.I.R.L.,76.026.992-1,"Ximena Pavez Reveco Calle San José N° 5.641, P,13. Gran. Av.",San Miguel,966569929 / 966569927,rodaxi.ximena.pavez@gmail.com,ximena.pavez.reveco@gmail.com,PRIMERA,3272 / 28-11-2017
MUNICIPALIDAD DE LA REINA,,69.070.600-8,Andres Salgado Henriquez Av. Mateo Toro Y Zambrano N°1.474,La Reina,225927279 / 988629762 / 225927371,asalgado@mlareina.cl,infovivienda@mlareina.cl,ÚNICA,1393 / 07-05-2018
CONSULTORA ARTURO FIABANE VASQUEZ E.I.R.L.,DOMUS E.I.R.L.,76.038.603-0,"Arturo Alejandro Fiabane Vásquez Calle San Antonio N° 31, Of. 508",Santiago,226332820 / 988356441,info.domus.eirl@gmail.com,domus.eirl@gmail.com,TERCERA,1947 / 03-07-2017
MUNICIPALIDAD DE MELIPILLA,,69.072.900-8,Tamara Pino Wastavino Calle Silva Chavez N°480,Melipilla,229027301 / 229027296 / 968530971,jennifer.vasquez@munimelipilla.cl,,ÚNICA,1835 / 15-06-2017
BERTA MARGARITA VALDEVENEGRO PLAZA,,6.891.712-3,Berta Margarita Valdenegro Plaza Calle Valdes N°613,Melipilla,977088855,egis.bv@gmail.com,bvaldenegrop53@gmail.com,TERCERA,805 / 25-03-2019
FUENTES & SHAE CONSULTORES LIMITADA,F Y S CONSULTORES LTDA.,76.028.541-2,"Vanessa Lucía Fuentes De La Hoz Calle Serrano N°73, Oficina N°910",Santiago,229293362,fysconsultores@gmail.com,,TERCERA,3071 / 31-10-2017
MUNICIPALIDAD DE HUECHURABA,,69.255.400-0,Claudio Donoso Pezoa / Valeska Lorca Rubilar Av. Recoleta N° 5315,Huechuraba,966196906 / 942557443 / 227197266 / 65,paulina.trivino@huechuraba.cl,,ÚNICA,2167 / 19-07-2018
MUNICIPALIDAD DE SAN MIGUEL,,69.070.800-0,Yanara Jorquera Vera Av. José Miguel Carrera Nº 3418,San Miguel,226789170 / 226789171,vivienda@sanmiguel.cl,yjorquera@sanmiguel.cl,ÚNICA,2542 / 24-08-2018
SERVICIOS Y ASESORÍAS DESARROLLA SPA,DESARROLLA SPA,76.043.495-7,"Jaime Marambio Labrador Paseo Bulnes 79, Of. 60",Santiago,942077402 / 931943371,proyectos@desarrolla.cl,dest.iden@gmail.com / administracion@desarrolla.cl,PRIMERA,2930 / 20-10-2017
INMOBILIARIA ASISTENCIA TÉCNICA Y GESTOR HABITACIONAL MILLALEMU SOCIEDAD ANÓNIMA,MILLALEMU S.A.,76.936.840-K,Roxana Scarlett Kam-Ching Barrios Avda. Viel N° 1556,Santiago,225441140 / 967283389 / 954214248,roxanakamchings@gmail.com,,PRIMERA,3492 / 26-12-2017
ENTIDAD DE GESTIÓN INMOBILIARIA SOCIAL CHILE SPA,EGIS CHILE SPA,76.048.179-3,"Sergio Antonio Toro Gómez Paseo Huérfanos Nº 1160, Of. N° 714",Santiago,226710078 / 997007942,iva.cony31@gmail.com,marycerpa@egischile.cl,TERCERA,2668 / 26-09-2017
SOLEDAD DEL CARMEN ARAOS GARNICA CONSULTORA SOCIAL E.I.R.L.,SOCIEDAD CONSULTORA SOCIAL S.C.S. E.I.R.L.,76.049.715-0,"Soledad Del Carmen Araos Garnica Gran Av. Jose Miguel Carrera Nº 6560, Caracol Lo Ovalle, Local N° 83",La Cisterna,228807735 / 993451820 / 224016338,tecnico.scs.eirl@gmail.com,scs.eirl@gmail.com / scr.eirl.2@gmail.com,PRIMERA,1242 / 19-04-2018
MUNICIPALIDAD DE BUIN,,69.072.500-2,Rodrigo Perez Leyton/Jeanette Antinao Calle Balmaceda N°305,Buin,228219272 / 954049054,yantinao@buin.cl,rperez@buin.cl / maraya@buin.cl,ÚNICA,2764 / 28-11-2019
MUNICIPALIDAD DE ÑUÑOA,,69.070.500-1,Evelyn Salgado Avenida Irarrazaval Nº 2434,Ñuñoa,233222068 / 233222063 / 233222069,vivienda@nunoa.cl,asarmiento@nunoa.cl,ÚNICA,2558 / 04-09-2017
CONSTRUCTORA INMOBILIARIA E INVERSIONES OVAL LIMITADA,CONSTRUCTORA OVAL LTDA,76.048.251-K,Oscar Rodrigo Valladares Plaza Av. Presidente Riesco N° 3316,Las Condes,931992358,gguajardo@constructoraoval.cl,,PRIMERA,2248 / 31-07-2017
VERDE - AZUL ARQUITECTOS ASOCIADOS LIMITADA,VERDE-AZUL LTDA,76.054.935-5,"Felipe Ignacio Araya Allende Calle Marín Nº 0114, Of. 201 Providencia .",,229849950,contacto@verdeazul.cl,c.barreau@verdeazul.cl,PRIMERA,1844 / 20-06-2018
ASESORIAS Y CONSULTORIAS GEA LIMITADA,GEA CONSULTORES,76.977.620-6,Daniela Donoso Grunberg Eliodoro Yañez N° 2979 Of 710,Providencia,222324245 / 990893408,info@consultoragea.cl,daniela@consultoragea.cl,PRIMERA,2851 / 13-10-2017
MUNICIPALIDAD DE LA GRANJA,,69.072.400-6,"Leslie Zarate Meza Av. Americo Vespucio N° 002, Entrada Por Calle El Consistorial",La Granja,225503759 / 38313829,lzarate.social@gmail.com,viviendalagranja@gmail.com,ÚNICA,2247 / 31-07-2017
ARQUITECTURA Y CONSTRUCCIÓN ALEGRIA OYARZÚN LTDA.,EGIS ALEGRIA LTDA,76.064.031-K,Fernando Oyarzun Villa Calle Alhue N°39,Maipu,228480169 / 998747007 / 9657720259,egis.alegria@gmail.com,,PRIMERA,1857 / 20-06-2018
MUNICIPALIDAD DE LO BARNECHEA,,69.255.200-8,Paulina Lizama Yañez Raul Labbe N°13.989,Lo Barnechea,227573110 / 227573230,plizama@lobarnechea.cl,,ÚNICA,3494 / 26-12-2017
MUNICIPALIDAD DE ESTACION CENTRAL,,69.254.300-9,"Pamela Catalán Cares Pasaje Las Azucenas Nº 316, Con Av. 5 De Abril (En Depto. Desarrollo Social)",Estación Central,991421226,rodrigomarin@ecentral.cl,,ÚNICA,2166 / 19-07-2018
"GESTIÓN Y PROYECTOS INMOBILIARIOS, IVÁN GARAY ACUÑA E.I.R.L.",GESTION Y PROYECTOS E.I.R.L,76.131.089-5,"Iván Antonio Garay Acuña Calle Héctor Bocardo N° 1827, Depto D",Independencia,227379186,contacto@gypinmobiliarios.cl,igaray@gypinmobiliarios.cl,SEGUNDA,2134 / 17-07-2017
CONSULTORA HABITACIONAL D Y N SPA,D Y N SPA,76.138.603-4,Solange Villalobos Listz N°2925,San Joaquin,222297548 / 974545184,dynconsultorahabitacional@gmail.com,,PRIMERA,2133 / 17-07-2017
ORGANIZANDO FUTURO SOCIEDAD ANÓNIMA,EGIS FUTURO S.A.,76.118.682-5,Alberto Zerega Carolina Zerega Gral. Carol Urzúa N°6969,Las Condes,994795681,egisfuturo@egisfuturo.cl,egisfuturo2010@gmail.com,TERCERA,1392 / 07-05-2018
DISEÑO ARQUITECTURA SOCIAL INGENIERÍA Y ESTUDIO CONSULTORES LIMITADA,CONSULTORA D.A.S.I.E. LTDA.,76.146.502-3,"Juan Alonso Delgado Escárate Paseo Huérfanos N° 886, Oficina N° 616",Santiago,233774799 / 920078319,consultora.dasie@gmail.com,,PRIMERA,1518 / 18-05-2018
PROYECTA3 SERVICIOS HABITACIONALES LIMITADA,PROYECTA3 HABITACIONAL LIMITADA,76.179.464-7,"María Loreto Barrales Fernández Calle Serrano Nº 74, Oficina N° 401",Santiago,939302330 / 939302328 / 939302329,lbarrales@proyecta3.cl,jmunozw@proyecta3.cl,PRIMERA,2168 / 19-07-2018
INMOBILIARIA Y CONSULTORA URBANO LIMITADA,SOCIAL Y URBANO LTDA,76.151.838-0,"Karen Elena Navarrete Berríos Pasaje Santa Florentina N° 0637, Villa Santa Felicia (Se Ingresa Por Av. Concha Y Toro, A La Izquierda Por Calle Maestro Palomo, A La Izquierda Por Calle Santa Frida)",Puente Alto,222657214 / 994871927 / 933036839,contacto@socialurbano.org,socialurbano@gmail.com,SEGUNDA,2757 / 10-09-2018
ASESORIAS Y GESTION INMOBILIARIA MCS SOCIEDAD DE RESPONSABILIDAD LIMITADA,MCS LTDA.,76.187.381-4,Andrés Cristobal Veloso Sánchez Bombero Ossa N°1010 Of 720,Santiago,998466971 / 226965961,egis.mcs@gmail.com,msanchezvergara@gmail.com,PRIMERA,312 / 08-02-2019
OVAL ENTIDAD PATROCINANTE LIMITADA,,76.094.195-6,Carolina Andrea Macan Maraboli Av. Presidente Kennedy N°5682 Vitacura Anexo,,223430660 / 10469319922358,ggajardo@constructoraoval.cl,ymaturana@constructoraoval.cl / contacto@constructoraoval.cl,PRIMERA,1101 / 20-03-2018
INMOBILIARIA CONCRECASA DOS LIMITADA,CONCRECASA DOS LTDA,76.161.811-3,Lorena Urrutia Av. Nueva Costanera Nº 4229 Of. 305.,Vitacura,222419222 / 991894503,jpavez@concrecasa.cl,lurrutia@concrecasa.cl,PRIMERA,1630 / 29-05-2018
DOSG ASESORÍA EN CONSTRUCCIÓN LIMITADA,,76.121.026-2,Natalia Carolina González González Calle José Manuel Veliz Nº 236,María Pinto,228354048 / 983793120 / 976704284,dosgvivienda@gmail.com,,TERCERA,890 / 03-03-2017
ENTIDAD DE GESTIÓN INMOBILIARIA SOCIAL LIMITADA,ASISTEC NOVA LTDA,76.161.424-K,"Carolina Angélica Colipue Arellano Calle Serrano N° 74, Of. 301",Santiago,226328830,carolina.colipue@asistecnova.cl,mariapaz.avalos@asistecnova.cl,PRIMERA,2361 / 10-08-2017
CONSULTORA NÚCLEO SOCIAL LIMITADA,,76.246.733-K,Rene Miranda Barrales Calle Serrano N°73 Oficina 710,Santiago,993096989 / 966004822,rmiranda@nucleosocial.cl,mrodriguez@nucleosocial.cl,SEGUNDA,1244 / 19-04-2018
GESTIÓN Y PROYECTOS INMOBILIARIOS RUCALHUE LIMITADA,,76.270.853-1,Gonzalo Andrés Carrasco García Calle Islandia N°871,San Miguel,957155835 / 944396872 / 999059128,rucalhueltda@gmail.com,,PRIMERA,2359 / 10-08-2017
MUNICIPALIDAD DE EL MONTE,,69.073.000-6,Jennifer Toloza Castillo Calle Benavente Nº 195,El Monte,25609760 / 956601946,jtoloza@munielmonte.cl,jibarra@munielmonte.cl,ÚNICA,1323 / 30-04-2018
INMOBILIARIA Y GESTORA DE PROYECTOS SOCIALES INMOBILIARIA FUTURO SPA,INMOBILIARIA Y GESTORA DE PROYECTOS SOCIALES INMOBILIARIA FUTURO,76.327.322-9,Rodrigo Valladares Marchant Huérfanos N°779 Oficina 705,Santiago,232822050,inmobiliaria.social.chile@hotmail.com,,TERCERA,2755 / 10-09-2018
2P ARQUITECTOS LIMITADA,,76.204.505-2,Patricio Arriagada Y Pablo Fernández Calle San Ignacio N° 1265,Santiago,225441600,2p.arquitectos@gmail.com,2p.parriagada@gmail.com / 2p.pfernandez@gmail.com,PRIMERA,1052 / 24-03-2017
ARQUITECTURA SUSANA PIMENTEL E.I.R.L.,ABITARE E.I.R.L,76.299.671-5,"Susana Monica Pimentel Bouillon Calle Grajales N° 2590, Depto N° 802 (Esq. Abate Molina)",Santiago,224099554 / 988289970 / 986235589,psatsusanapimentel@gmail.com,cesar.lillo@gmail.com,TERCERA,3044 / 06-10-2017
CONSTRUCTORA Y ESTUDIOS SOCIALES GANESA LIMITADA,GANESA LIMITADA,76.270.803-5,"Jose Dionisio Gajardo Negrete Paseo Ahumada N°312, Oficina 919",Santiago,956173395 / 990900167,oficina.ganesa@gmail.com,helea.gasa@ug.uchile.cl / libiabcontreras@gmail.com,TERCERA,1254 / 20-04-2018
ARCO ESTUDIO LIMITADA,,76.312.672-2,"Omar Humberto Jara Hernández Avda. Bernardo O'Higgins N°1334, Of. M",Talagante,984142517 / 225119237,contacto@arcoestudio.cl,ojara@arcoestudio.cl,PRIMERA,2136 / 17-07-2017
LIKAN GESTIÓN INMOBILIARIA JORGE RAFAEL SANTIBAÑEZ GONZÁLEZ E.I.R.L,,76.272.521-5,"Jorge Rafael Santibañez González Calle El Pinar N° 205, Oficina N° 5",San Joaquín,232820787 / 3236872798 / 982015040,gestionlikan@gmail.com,,TERCERA,1255 / 20-04-2018
"INMOBILIARIA, INSPECCIÓN TÉCNICA Y GESTOR HABITACIONAL RUKALEMU S.A",RUKALEMU S.A.,76.099.786-2,Roxana Scarlett Kam-Ching Barrios Av. Viel Nº 1556,Santiago,967283389,rukalemupsat@gmail.com,roxanakamchings@gmail.com,PRIMERA,3491 / 26-12-2017
MUNICIPALIDAD DE SAN RAMON,,69.253.900-1,Jose Toloza / Angela Cornejo Av. Ossa Nº 1771,San Ramón,222909243 / 958590857 / 977263889,psat@municipalidadsanramon.cl,psatsanramon2@gmail.com,ÚNICA,1102 / 20-03-2018
TRAMAS CONSULTORES LIMITADA,TRAMAS LTDA.,76.107.651-5,"Claudia Andrea Troncoso Troncoso Paseo Huerfános N° 1373, Oficina N°706",Santiago,227253011 / 226986405,vivienda@tramasconsultores.com,tramas@tramasconsultores.com / claudia.troncoso@tramasconsultores.com,TERCERA,2413 / 08-08-2018
CONSULTORA Y ASESORÍAS TAURUS SpA,TAURUS SpA,76.382.897-2,Puppy Antonieta Rojas Naranjo Marchant Pereira 150 Of 901,Providencia,992348048 / 994344721 / 994378081,puppy.rojas@consultorataurus.cl,puppyrojas@vtr.net / david.araya@consultorataurus.cl,SEGUNDA,2988 / 24-10-2017
INMOBILIARIA SOCIAL CONVERGE LIMITADA,CONVERGE LIMITADA,76.366.565-8,Lucio Claudio Hernández Ortiz Agustinas N°972 Oficina 514,Santiago,232211653 / 966770162 / 999188094,converge@iconverge.cl,hlucioclaudio@gmail.com / vilaza.claudia@gmail.com,PRIMERA,3068 / 22-10-2018
ASESORÍA PARA PROYECTOS DE VIVIENDA SOCIAL COLECTIVO EMERGENTE LIMITADA,COLECTIVO EMERGENTE LTDA.,76.391.899-8,"María José Carrasco Martínez Arturo Prat # 644, Of. 609",Santiago,955380228,colemergente@gmail.com,pablocaceres@live.cl,TERCERA,1051 / 24-03-2017
EVOLUTIVA ENTIDAD PATROCINANTE Y CONSULTORA DE VIVIENDA Y URBANISMO SPA,EVOLUTIVA SPA,76.392.316-9,Natalia Muñoz Requena Calle Ministro Carvajal N° 27,Providencia,227118997 / 956391837,ep.evolutiva@gmail.com,,PRIMERA,1760 / 06-06-2017
ENTIDAD PATROCINANTE KUTRALWE LIMITADA,KUTRALWE LTDA.,76.396.352-7,"Lorena Beatriz Pino Palma Calle Nueva De Lyon N° 96, Oficina N° 307",Providencia,223008227 / 223002322 / 2230046944,lorena.pino@kutralwe.com,lorenapp@gmail.com / victor.sandoval@ingvicsa.cl,TERCERA,891 / 03-03-2017
ENTIDAD PATROCINANTE CONSULTORA SOCIAL & HABITACIONAL IDENTIDADES LIMITADA,IDENTIDADES LTDA.,76.413.791-4,Maria Fernanda Mella Lara Calle Vicente Valdes N°87 Oficina 904,La Florida,975170778 / 323784404 / 981368093,fmella@consultoraidentidades.com,f.aragon@consultoraidentidades.cl / m.mendez@consultoraidentidades.cl,PRIMERA,1207 / 07-04-2017
NUEVO HOGAR SpA,,76.423.609-2,"Marcia Alejandra Perez Tirado Av. Pajaritos N° 3195, Oficina N° 903",Maipú,232026631 / 942686753,contacto@egisnuevohogar.cl,marcia.perez@egisnuevohogar.cl,SEGUNDA,889 / 03-03-2017
