region,razon_social,rut,contacto_y_direccion,telefonos,correos,categoria,resolucion
TARAPACÁ,ENTIDAD PATROCINANTE MANUEL MEDINA E.I.R.L.,77.104.631-2,"MANUEL MADINA SOTOMAYOR Nº625, OFICINA 904 IQUIQUE",973982126 954741952 958757196,m.medina.carrasco@gmail.com / entidadpatrocinante.mym.gerencia@gmail.com / secretaria.epmym@gmail.com,TERCERA,107 / 05-03-2020
TARAPACÁ,ENTIDAD PATROCINANTE MÁS FAMILIA SPA,77.949.391-1,"DENISSE LATRILLE SOTOMAYOR N°575, OFICINA 804 IQUIQUE",968348426,denisse.latrille@mfamilia.cl / andres.guasch@mfamilia.cl / ayling.leyton@mfamilia.cl,SEGUNDA,718 / 15-11-2024
TARAPACÁ,GESTORA MASHOGAR LIMITADA.,76.360.076-9,MARCELO GATTAVARA SALVADOR ALLENDENº1694 A IQUIQUE,940545730 229862184,mariangela@gestoramashogar.cl / teresa@gestoramashogar.cl,PRIMERA,685 / 02-10-2018
TARAPACÁ,ILUSTRE MUNICIPALIDAD DE ALTO HOSPICIO,69.265.100-6,ROBERTO ESTAY RAMÓN PEREZ OPAZO 3125 ALTO HOSPICIO (57)2523000,,restay@maho.cl,ÚNICA,143 / 16-03-2023
TARAPACÁ,ILUSTRE MUNICIPALIDAD DE POZO ALMONTE,83.017.500-8,FABIOLA CAUCOTO BALMACEDA 276 POZO ALMONTE,(57)2407220 992482262,fcaucoto@gmail.com,ÚNICA,681 / 14-10-2022
TARAPACÁ,ILUSTRE MUNICIPALIDAD HUARA,69.010.200-5,MICHELLE MIRANDA VICKUÑA MAQUENA S/N HUARA (57) 2463200,,ofvivienda.imhuara@gmail.com,ÚNICA,152 / 13-04-2020
TARAPACÁ,ILUSTRE MUNICIPALIDAD IQUIQUE,69.010.300-1,"HECTOR VARELA SERRANO Nº132, EDIFICIO CONSISTORIAL, 4ª PISO. IQUIQUE (57)2514833",,vivienda@municipioiquique.cl,ÚNICA,523 / 16-06-2017
TARAPACÁ,IMAGINA TU HOGAR LIMITADA,77.410.723-1,"CAROLINA PINILLA SERRANO N°145, OFICINA 904 IQUIQUE (57)2757330",,gprieto@ecimagina.cl,TERCERA,674 / 02-12-2021
TARAPACÁ,INGENIERIA Y CONSTRUCCION ZEGARRA LIMITADA,76.310.952-6,ERICK ZEGARRA LA PAMPA Nº3706 ALTO HOSPICIO (57)2730347,,ezegarra@grupo-z.cl,TERCERA,298 / 06-08-2020
TARAPACÁ,INMOBILIARIA D&M SPA.,76.055.515-0,"STEFANIA RIVERA SOTOMAYOR Nº625, PISO 10 IQUIQUE",(57)2473014 940412684,info@dyminversiones.cl / vescalona@dyminversiones.cl / dsalvo@dyminversiones.cl,PRIMERA,1009 / 07-12-2017
TARAPACÁ,JORGE MAURICIO MANCILLA PULGAR CONSULRORA E.I.R.L.,76.769.425-3,"JORGE MANCILLA SOTOMAYOR N°625, OFICINA 1103 IQUIQUE",979674900,jorge.mancilla.p@gmail.com,PRIMERA,464 / 31-07-2024
TARAPACÁ,"JUAN CARLOS GARCÍA SERVICIOS DE ASESORÍA PROFESIONAL, TUNUPA CONSULTORES EIRL.",76.707.002-0,"JUAN CARLOS GARCÍA ARTURO PRAT Nº1085, OFICINA D-46 IQUIQUE",(57)2410192 982248016,tunupa.consultores@gmail.com / juangarq@gmail.com,TERCERA,378 / 05-05-2017
TARAPACÁ,MAS INMOBILIARIA Y CONSULTORA LIMITADA.,77.127.027-1,"GLORIA PLATERO SIMÓN BOLIVAR N°352, OFICINA 407 IQUIQUE",(57)2414357 959554230,gplaterodiaz@gmail.com,TERCERA,343 / 09-09-2020
TARAPACÁ,NEXO NORTE SPA,77.539.761-6,PAULINA FREDES PATRICIO LYNCH N°548 OFICINA 322 IQUIQUE,959112466,pauly.fredes@gmail.com,TERCERA,229 / 14-04-2023
TARAPACÁ,SOCIEDAD CONSTRUCTORA CIMENTAR LIMITADA,76.643.095-3,RODRIGO ROA PATRICIO LYNCH N°91 OFICINA 804 IQUIQUE,959554230,gplatero.cimentar@gmail.com,PRIMERA,50 / 23-02-2017
TARAPACÁ,URBANO STUDIO SPA,78.021.719-7,EMANUEL BUSTO ALTO LOS AROMOSN°4520 ALTO HOSPICIO,961206491,ebusto@urbanostudio.cl,TERCERA,726 / 20-11-2024
TARAPACÁ,SOCIEDAD PATROCINADORA SANTA BERTA LIMITADA,76.924.017-9,JOSÉ PASTEN MANUEL BULNES N°1068 IQUIQUE (57)2311891,,gestion@bvcinmobiliaria.cl / denys.quezada@gmail.com,TERCERA,421 / 02-08-2019
ANTOFAGASTA,NAHUEN INGENIEROS CONSTRUCTORES ASOCIADOS SPA.,76.638.675-K,"JUAN CARLOS CONTRERAS QUEZADA SENDERO NORTINO N°10.848, CASA 33 ANTOFAGASTA +",52 2321536 / 56 9 79890550,nahuenconstructores@gmail.com,TERCERA,1926 / 14-11-2016
ANTOFAGASTA,ILUSTRE MUNICIPALIDAD DE SAN PEDRO DE ATACAMA,69.252.500-0,MAKARENA VALENZUELA GUSTAVO LE PAIGE N°328 SAN PEDRO DE ATACAMA (55) 2569204,,vivienda@munispa.cl,ÚNICA,163 / 14-02-2017
ANTOFAGASTA,CHRISTIAN MONTERO MARTÍNEZ,10.078.234-0,"CHRISTIAN MONTERO MARTÍNEZ BAQUEDANO 239, OFICINA 420. ANTOFAGASTA",9 73792191,arquitectura_byc@yahoo.com,TERCERA,538 / 16-05-2017
ANTOFAGASTA,ILUSTRE MUNICIPALIDAD DE TALTAL,69.020.500-9,EMILIA XIMENA GONZÁLEZ COLLAO AVENIDA ARTURO PRAT N°515 TALTAL,9 74125284,xestay@municipalidadtaltal.cl,ÚNICA,633 / 12-06-2017
ANTOFAGASTA,IKONO ARQUITECTURA Y SERVICIOS E.I.R.L.,76.740.540-5,"JOSÉ LUIS LAURY GAJARDO WASHINGTON N°2675. PISO 10, OFICINA 1005. ANTOFAGASTA (55) 2940288",,ep.ikono@gmail.com,SEGUNDA,773 / 13-07-2017
ANTOFAGASTA,ÁVALOS Y IBACACHE ARQUITECTOS SOCIALES LTDA.,76.308.849-9,MIGUEL ÁVALOS OLIVARES PATRIA NUEVA N° 3416. CASA 5 ANTOFAGASTA,9 99917936,tectonicarquitectos@gmail.com,PRIMERA,903 / 08-08-2017
ANTOFAGASTA,INVERSIONES E INMOBILIARIA DEL VALLE Y MALDONADO LTDA.,76.055.515-0,"ALEJANDRA DEL CARMEN SIEDE ARAYA CALLE TENIENTE LUIS URIBE N°636, PISO 9, OFICINA 15. ANTOFAGASTA (55) 2553244",,adelvalle@dyminversiones.cl / asiede@dyminversiones.cl,PRIMERA,1152 / 24-10-2017
ANTOFAGASTA,E.I.R.L.,76.048.286-2,ANDREA NAVARRO TORO CALLE ADAMSON N°3228 ANTOFAGASTA (55) 2252433,,egis.servan@gmail.com,PRIMERA,189 / 20-03-2018
ANTOFAGASTA,ILUSTRE MUNICIPALIDAD DE CALAMA,69.020.200-K,CONNIE ESTHER FABIAN BRITO VICUÑA MACKENNA 2001 CALAMA (55) 2768037,,cfabian@municipalidadcalama.cl,ÚNICA,334 / 17-05-2018
ANTOFAGASTA,GESTORA MÁS HOGAR LTDA.,76.360.076-9,MARCELO GLEYZ FUENTES GATTA ISAAC ARCE RAMÍREZ N°251 ANTOFAGASTA,9 79603962,antofagasta@gestoramashogar.cl,PRIMERA,485 / 11-07-2018
ANTOFAGASTA,SOCIEDAD BACH CONSULTARA SPA,76.847.415-K,"CHIRSTIAN MONETERO MARTÍNEZ BAQUEDANO 239, OFICINA 420. ANTOFAGASTA",9 73792191,arquitectura_byc@yahoo.com,TERCERA,613 / 29-08-2018
ANTOFAGASTA,EME.PE.ELE. CONSTRUCTORA LTDA.,76.002.363-9,SANDY MUÑOZ POBLETE ANÍBAL PINTO 1951. SEGUNDO PISO. CALAMA,9 66970908,eagisemepeelecalama@gmail.com,TERCERA,92 / 05-02-2019
ANTOFAGASTA,ACL INGENIERÍA Y CONSTRUCCIÓN LTDA.,76.204.260-6,"CLAUDIO DE ARGANDOÑA ARAYA CALLE ARTURO PRAT N°461, OFICINA N°1105 ANTOFAGASTA",9 96794806,cargandona@grupo-acl.cl,PRIMERA,678 / 06-11-2019
ANTOFAGASTA,EBCO S.A.,96.844.950-8,VANESSA ANDREA MUÑOZ GARCÍA EDUARDO ORCHARD N°1438 ANTOFAGASTA,9 96180225,denisse@urbanismosocial.cl / vanessa.munoz@ebco.cl / leo.montes@ebco.cl,PRIMERA,679 / 06-11-2019
ANTOFAGASTA,NUEVO HOGAR S.A.,99.572.900-8,OSVALDO JOSÉ ABDALA VALENZUELA JORGE WASHINGTON N°2513 ANTOFAGASTA,9 68200760,oabdala@n-hogar.cl,PRIMERA,740 / 21-11-2019
ANTOFAGASTA,INNOVA P Y C GESTIÓN Y CONSTRUCCIÓN SPA,77.054.917-5,CYNTHIA JOHANA NÚÑEZ MUÑOZ CALLE RÍO BLANCO N°8085 ANTOFAGASTA,9 84323795,innovagyc@gmail.com,TERCERA,789 / 13-12-2019
ANTOFAGASTA,CONSTRUCTORA E INMOBILIARIA ATACAMA LA GRANDE SPA,76.746.672-2,"ALEJANDRO VÉLIZ CALLE ARTURO PRAT N°214, OFICINA N°407 ANTOFAGASTA",9 5471116,alvelizveliz@gmail.com,TERCERA,95 / 05-02-2020
ANTOFAGASTA,DEISSY ANDREA VALENCIA TORO SERVICIOS DE CONSTRUCCIÓN Y REPARACIÓN DE VIVIENDAS E.I.R.L.,77.146.142-5,"DEISSY VALENCIA TORO SOCOMPA 546 BLOCK 17B, DEPTO. 502 TOCOPILLA",9 82891138,deissyvalencia@hotmail.com / procamltda.tocopilla@gmail.com,TERCERA,508 / 02-10-2020
ANTOFAGASTA,AYLLU VIVE SPA,77.335.214-3,AYLLU VIVE SPA AVDA. BALMACEDA Nº 2536. OFICINA 301 ANTOFAGASTA,9 98733240,ximenaarestizabal@gmail.com,TERCERA,485 / 25-08-2021
ANTOFAGASTA,ENTIDAD PATROCINANTE PROYECTA LTDA.,77.571.842-0,PROYECTA LTDA. LAS GARDENIAS N°1368 ANTOFAGASTA,9 79890550,mlahaye84@gmail.com,TERCERA,217 / 30-05-2023
ANTOFAGASTA,ENTIDAD PATROCINANTE MÁS FAMILIA SPA,77.949.391-1,MÁS FAMILIA SPA EDUARDO ORCHARD N°1440 ANTOFAGASTA,56 968348462,denisse@urbanismosocial.cl,TERCERA,14 / 13-01-2025
ANTOFAGASTA,ENTIDAD ATACAMA ENTIDAD PATROCINANTE SPA,78.094.576-1,INNOVA SPA CALLE RÍO BLANCO N°8085 ANTOFAGASTA,56 9 88834750,atacamaentidadpatrocinante@gmail.com,TERCERA,226 / 29-07-2025
ANTOFAGASTA,NATALIA MARINA MUÑOZ REQUENA,14.046.313-2,NATALIA MARINA MUÑOZ REQUENA BAQUEDANO N°50. OFICINA N°709 ANTOFAGASTA,56 956391837,natalia.munozrequena@gmail.com,TERCERA,281 / 04-09-2025
ATACAMA,ILUSTRE MUNICIPALIDAD DE COPIAPO,69.030.200-4,ALEX RUDENCINDO OJEDA BRUNA COLIPI N° 760 COPIAPO,522-357921 965198244,alexojedabruna@gmail.com,ÚNICA,312 / 25-04-2017
ATACAMA,ILUSTRE MUNICIPALIDAD DE DIEGO DE ALMAGRO,69.250.500-k,LILIANA GONZALEZ JUAN MARTÍNEZ N° 1903 DIEGO DE ALMAGRO,522485318,liliana.imda@gmail.com,ÚNICA,457 / 26-09-2016
ATACAMA,ILUSTRE MUNICIPALIDAD DE FREIRINA,69.030.600-k,"HILDA HORTENCIA TORRES BARRIOS CALLE TEMPLO SIN NUMERO EDIFICIO LOS PORTALES, FREIRINA",995336965 512401300,vivienda@munifreirina.cl,ÚNICA,819 / 29-12-2016
ATACAMA,ILUSTRE MUNICIPALIDAD DE VALLENAR,69.030.500-3,EDUARDO NESTOR PERALTA FLORES PLAZA N° 25 VALLENAR VALLENAR,961755640,eduardo.peralta@vallenar.cl,ÚNICA,458 / 26-09-2016
ATACAMA,ILUSTRE MUNICIPALIDAD DE CHAÑARAL,69.030.100-8,OSCAR LEONARDO NIETO ROJAS THELMA RIVERA PANIAGUA CALLE ATACAMA N°640 CHAÑARAL,961256523 942428965,entidad.patrocinante@munichanaral.cl / oscar.nieto@munichanaral.cl,ÚNICA,312 / 07-08-2019
ATACAMA,TICSA CONSULTORA LIMITADA,76.596.820-8,LORENA CASTILLO ARAYA RODRIGUEZ N° 390 DEPARTAMENTO 403 COPIAPO,522216531 989027347,lcastillo@ticsaconsultora.com / contacto@ticsaconsultora.com,SEGUNDA,311 / 24-04-2017
ATACAMA,"CONSULTORIA, INGENIERIA Y DESARROLLO LIMITADA O CID LTDA",76.250.528-2,JULIETA ROJAS MERCED N° 466 VALLENAR,993326111,j.rojas@cidconsultores.cl,PRIMERA,422 / 08-09-2016
ATACAMA,ARQUITECTOS CANTO Y HERMOSILLA LTDA,76.291.253-8,RODRIGO CANTO OHIGGINS N° 1243 COPIAPO,522363234 982139912,epcantohermosilla@gmail.com,SEGUNDA,92 / 07-02-2017
ATACAMA,GESTION INMOBILIARIA CUMBRES DEL NORTE LTDA,76.079.461-9,FRANCY JAVIER ROJAS DIAZ CATALINA ZEPEDA CORTEZ LOS CARRERA N° 599 OF. 8 COPIAPO,932937529,gestioncumbresdelnorte@gmail.com / atacamacumbres@gmail.com,PRIMERA,223 / 04-07-2018
ATACAMA,INMOBILIARIA TU CASA - TU NORTE S.A.,76.605.109-K,"ROCIO LAGOS SUSAETA MATIAS ROVANO BUSTOS COLIPI 484, LOCAL B106, COSMOCENTRO PLAZA REAL, COPIAPO COPIAPO",975873282 944704348,rlagoss@ecomac.cl,SEGUNDA,64 / 04-03-2019
ATACAMA,DOMUSTEK SPA,77.141.785-K,LILIAN CORDOVA HERNANDEZ CALLEJON JOSE JOAQUIN VALLEJOS N° 705 COPIAPO,982944470 931377416,contacto@domustek.cl / domustekcopiapo@gmail.com / lcordova@domustek.cl,TERCERA,220 / 30-07-2020
ATACAMA,D Y M SPA,76.055.515-0,KARLA ANDREA RAMIREZ MORALES COLIPI N° 434 OF 607 TORRE FLAMENCO COPIAPO,939294161 939294162,kramirez@dyminversiones.cl,PRIMERA,35 / 12-02-2021
ATACAMA,CONSULTORA AMBIENTE ESENCIAL SPA,77.264.266-0,JAIME HIDALGO ARANGUIZ FREIRINA N° 396 CALDERA,522428674 974780458,ambienteesencial@gmail.com,TERCERA,383 / 08-10-2021
ATACAMA,EGISA CONSULTORA LTDA,76.924.160-4,PILAR EUGENIA AGUIRRE BARRAZA LOS CARRERA N° 360 COPIAPO,967295100,pilaraguirrebarraza18@gmail.com,PRIMERA,111 / 18-03-2022
ATACAMA,NUEVA VIDA SPA,77.488.077-1,"AVEL LUVELLO ROMERO CALLE RODRIGUEZ N° 771, OF I , COPIAPO COPIAPO",961774144,epcopiaponuevavidaspa@gmail.com / abel.luvello@usach.cl,TERCERA,338 / 11-08-2022
ATACAMA,I. MUNICIPALIDAD DE ALTO DEL CARMEN,69.251.900-0,YARITZA NUÑEZ CORTES RICARDO GARCES CALLE PEDRO ALONSO GARCIA S/N ALTO DEL CARMEN,512400500 975222438,oficinavivienda.imac@gmail.com / ricardo.garces@munialtodelcarmen.cl,ÚNICA,344 / 18-08-2022
ATACAMA,I. MUNICIPALIDAD DE CALDERA,69.030.300-0,CARMEN PATRICIA VERGARA LECAROS CALLE OSSAS VARAS N° 501 CALDERA. CALDERA,989547824 978585958,epmunicipal@caldera.cl / cvergara@caldera.cl,ÚNICA,471 / 25-10-2022
ATACAMA,INMOBILIARIA SALFA AUSTRAL LTDA,96.610.790-1,"CRISTOBAL VICUÑA DIAZ CALLE COLIPI N° 570, OFICINA 502, COPIAPO COPIAPO",948024949 979797636,cvicuna@salfaustral.cl / vfritz@salfaustral.cl,PRIMERA,34 / 07-02-2023
ATACAMA,MUNICIPALIDAD DE HUASCO,96.610.790-2,DANIEL ORLANDO PIZARRO MIRANDA CRAING N° 530 HUASCO,512400200,vivienda.huasco@gmail.com,ÚNICA,89 / 24-03-2023
ATACAMA,MOVA SPA,77.243.655-6,EVA MORENO BARRAZA COLIPI N° 484 LOCAL G-203 COPIAPO,920712776,movaspaatacama@gmail.com,TERCERA,297 / 21-08-2023
ATACAMA,URBANHIKZA SPA,77.871.143-5,MARIA CEPEDA GOMEZ CALLE INFANTE N° 947 OF 3 COPIAPO,961576129,mcg.urbanhikza@gmail.com,TERCERA,86 / 05-03-2025
ATACAMA,OVAL ENTIDAD PATROCINANTE LTDA,76.094.195-6,YASNA ALEJANDRA MATURANA WILDE VALLEJOS N° 535 OF 406 COPIAPO COPIAPO,953606066 975160227,ymaturana@constructoraoval.cl,PRIMERA,78 / 10-02-2026
ATACAMA,PROFESIONALES DyM LTDA,78.017.895-7,KARLA RAMIRES MORALES COLIPI 484 OF 607 TORRE FLAMENCO COPIAPO COPIAPO,988292436,adelvalle@dyminversiones.cl,PRIMERA,97 / 17-02-2026
ATACAMA,INMOBILIARIA VIVE HOGAR SPA,76.399.104-0,FRANCISCO JAVIER CABRERA YAÑEZ AV. DIEGO DE ALMAGRO N° 233 LOCAL 3 COPIAPO,930501255,fcabrera@empresasarmas.cl,PRIMERA,109 / 04-03-2026
COQUIMBO,SERVICIOS PROFESIONALES E INMOBILIARIOS JOSE FRANCISCO ROJAS ZORRILLA E.I.R.L (SOLARIS),76.314.910-2,"JOSE FRANCISCO ROJAS ZORRILLA CALLE FRANCISCO ENCINA,N°635 LA SERENA",51-2433497 999704044,jfranciscorojaszorrilla@gmail.com,TERCERA,147 / 27-02-2017
COQUIMBO,ASESORIAS DE PROYECTOS Y SERVICIOS P Y M LIMITADA,77.281.730-4,"ROXANA ARAYA SALINAS CALLE MATTA N° 309, OFICINA A, 1ER PISO, ESQUINA CALLE BRASIL. LA SERENA",51-2771358 992307584,consultorapymlaserena@hotmail.com,TERCERA,1105 / 23-12-2016
COQUIMBO,SOCIEDAD GESTION INMOBILIARIA CUMBRES DEL NORTE LIMITADA.,76.079.461-9,"FRANCY JAVIER ROJAS DIAZ CALLE COLÓN N° 352, OFICINA 423, EDIFICIO STUDIO OFFICE LA SERENA",51-2223528 932937529,gestioncumbresdelnorte@gmail.com / finanzas@cumbresdelnorte.cl,PRIMERA,188 / 14-03-2017
COQUIMBO,SOCIEDAD DE CONSULTORÍA PROFESIONAL EN OBRAS CIVILES EDUMAR LIMITADA.,76.632.860-1,"CRISTIAN NUNEZ SANTELICES CALLE DIAGUITAS,N° 701 LA SERENA",51-2229080 972134433 972124859,cristiannunezsantelices@gmail.com,PRIMERA,910 / 20-10-2016
COQUIMBO,SOCIEDAD COMERCIAL D Y A LIMITADA,76.245.256-1,"CARLA ARAYA CONTRERAS CALLE BENAVENTE 56, LOCAL 4, 1ER PISO GALERÍA SAN FRANCISCO OVALLE",53-2623405 994691960 973691230,dyalimitada@gmail.com,SEGUNDA,1104 / 23-12-2016
COQUIMBO,INGENIERIA CONTROL Y CONSULTORES LIMITADA (BRICAM),76.374.326-8,"KAREN SANTANDER BRICEÑO CALLE SAN MARTIN, N° 215, OFICINA 303 ILLAPEL",442875789,bricamconsultores@gmail.com,TERCERA,13 / 04-01-2018
COQUIMBO,CONSULTORA DIAGUITA LIMITADA,76.394.622-3,TERESITA CORTES ARANCIBIA CALLE PARQUE NACIONAL ALERCE ANDINO Nº 1538 COQUIMBO,55-2965450,cdiaguita@gmail.com,TERCERA,133 / 22-02-2017
COQUIMBO,GESTION INMOBILIARIA C y V LIMITADA,76.628.331-4,"ERLINDA VARAS QUINZACARA CALLE MAGALLANES N° 956 2DO PISO, LAS ENCINAS COQUIMBO",582322031 995692608 981203062,contacto.gestioncyv@gmail.com / alejandram.trabajosocial@gmail.com,TERCERA,1041 / 07-12-2016
COQUIMBO,SOCIEDAD CONSTRUCTORA RIO LIMARI LIMITADA.,83.728.100-8,ALEXIS CHACON MOSJOS AVENIDA VICUÑA MACKENNA N° 885 OVALLE,53-2620309 998841377,alexis.chacon@empresasriolimari.cl,TERCERA,468 / 14-06-2017
COQUIMBO,CONSULTORA E INMOBILIARIA J Y G LIMITADA,76.677.799-6,"JACQUELINE GARCIA RIVERA CALLE INDEPENDENCIA N°257, OFICINA 3 OVALLE",53-2474817 992818202,consultorajyg@gmail.com,TERCERA,338 / 02-05-2017
COQUIMBO,INMOBILIARIA TU CASA TU NORTE S.A.,76.605.109-K,ROCÍO LAGOS SUSAETA AVENIDA CUATRO ESQUINAS N°1590 LA SERENA,975873282,rlagoss@ecomac.cl,TERCERA,593 / 27-07-2017
COQUIMBO,AIC ARQUITECTURA INGENIERÍA Y CONSTRUCCIÓN SPA,76.651.166-K,"RUBEN ORREGO BUGUEÑO CALLE SAN CARLOS N° 504, ESQUINA JUAN IGNACIO FLORES COMBARBALÁ",53-2741109 985048093 971746100,consultora.aicspa@gmail.com,TERCERA,103 / 08-02-2018
